iter	Passed	Remaining
0	6	6857
1	13	6737
2	20	6690
3	27	6827
4	34	6789
5	41	6945
6	48	6874
7	55	6930
8	63	6942
9	69	6897
10	77	6926
11	84	6962
12	91	6955
13	98	6938
14	106	6993
15	113	6961
16	120	6957
17	128	6986
18	135	6993
19	142	7006
20	148	6930
21	155	6933
22	163	6958
23	172	7007
24	179	6996
25	186	6994
26	194	6992
27	201	6982
28	208	6993
29	216	6985
30	223	6982
31	230	6968
32	237	6957
33	245	6980
34	254	7014
35	261	6997
36	268	6996
37	275	6984
38	282	6973
39	290	6982
40	298	6979
41	305	6972
42	312	6953
43	319	6942
44	326	6923
45	333	6919
46	341	6921
47	348	6915
48	356	6920
49	363	6904
50	370	6897
51	377	6885
52	384	6878
53	392	6871
54	399	6863
55	407	6872
56	415	6869
57	422	6862
58	429	6849
59	437	6846
60	443	6834
61	452	6844
62	459	6828
63	466	6825
64	473	6815
65	481	6807
66	488	6802
67	495	6791
68	502	6786
69	510	6777
70	518	6780
71	526	6788
72	535	6799
73	544	6811
74	553	6823
75	561	6831
76	570	6833
77	577	6821
78	583	6806
79	590	6789
80	596	6770
81	603	6755
82	609	6737
83	616	6724
84	623	6711
85	630	6699
86	637	6686
87	643	6671
88	650	6656
89	656	6640
90	663	6623
91	669	6612
92	676	6600
93	683	6585
94	689	6567
95	695	6550
96	702	6536
97	708	6522
98	714	6503
99	720	6484
100	726	6469
101	732	6452
102	739	6436
103	745	6420
104	751	6408
105	758	6396
106	764	6380
107	770	6365
108	777	6353
109	784	6347
110	791	6338
111	798	6331
112	805	6325
113	812	6313
114	818	6299
115	825	6292
116	846	6387
117	863	6451
118	870	6446
119	877	6435
120	883	6420
121	890	6408
122	897	6397
123	903	6385
124	910	6373
125	917	6367
126	925	6360
127	932	6354
128	939	6346
129	947	6341
130	954	6328
131	961	6321
132	968	6313
133	975	6304
134	982	6293
135	988	6282
136	995	6272
137	1002	6262
138	1009	6253
139	1016	6246
140	1024	6238
141	1031	6230
142	1037	6218
143	1044	6207
144	1050	6197
145	1057	6187
146	1064	6177
147	1072	6174
148	1080	6169
149	1087	6161
150	1094	6156
151	1102	6148
152	1108	6138
153	1116	6133
154	1123	6126
155	1129	6112
156	1136	6100
157	1142	6088
158	1149	6078
159	1155	6068
160	1162	6058
161	1168	6046
162	1175	6034
163	1182	6025
164	1189	6017
165	1195	6007
166	1202	5996
167	1208	5987
168	1215	5977
169	1222	5967
170	1229	5958
171	1235	5948
172	1242	5939
173	1249	5931
174	1256	5925
175	1264	5918
176	1270	5908
177	1277	5899
178	1284	5889
179	1290	5879
180	1297	5871
181	1304	5862
182	1311	5854
183	1318	5845
184	1324	5836
185	1331	5827
186	1338	5818
187	1345	5809
188	1352	5802
189	1359	5794
190	1365	5785
191	1372	5776
192	1379	5767
193	1386	5758
194	1392	5749
195	1399	5741
196	1406	5732
197	1413	5725
198	1420	5716
199	1427	5708
200	1433	5700
201	1441	5694
202	1448	5686
203	1454	5677
204	1461	5668
205	1468	5659
206	1474	5649
207	1481	5640
208	1487	5631
209	1494	5623
210	1501	5614
211	1508	5606
212	1515	5598
213	1522	5590
214	1529	5582
215	1536	5575
216	1543	5567
217	1549	5559
218	1556	5550
219	1563	5542
